symbol,name,logo_url 
TRI,Thomson Reuters Corporation,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/TR_Logo_2024.svg/250px-TR_Logo_2024.svg.png
TSLA,Tesla Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Tesla_Motors.svg/250px-Tesla_Motors.svg.png
TTD,The Trade Desk Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/The_Trade_Desk.svg/250px-The_Trade_Desk.svg.png
TTWO,Take-Two Interactive Software Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Take-Two_Interactive_Logo.svg/250px-Take-Two_Interactive_Logo.svg.png
TXN,Texas Instruments Incorporated,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Texas_Instruments_logo_2024.svg/250px-Texas_Instruments_logo_2024.svg.png
VRSK,Verisk Analytics Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Verisk_Logo.png/250px-Verisk_Logo.png
VRTX,Vertex Pharmaceuticals Incorporated,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Vertex_logo.svg/250px-Vertex_logo.svg.png
WBD,Warner Bros. Discovery Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Warner_Bros._Discovery.svg/250px-Warner_Bros._Discovery.svg.png
WDAY,Workday Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Workday_logo.svg/250px-Workday_logo.svg.png
XEL,Xcel Energy Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Xcel-energy.svg/250px-Xcel-energy.svg.png
ZS,Zscaler Inc.,https://upload.wikimedia.org/wikipedia/commons/2/29/Zscaler_logo.png
^IXIC,NASDAQ Composite,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/NASDAQ_Logo.svg/250px-NASDAQ_Logo.svg.png
^GSPC,S&P 500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCPrnBnAwDzHOxdmnNdT3SmmciQUyDNTa-vA&s
^DJI,Dow Jones Industrial Average,https://upload.wikimedia.org/wikipedia/commons/f/f8/Dow_Jones_Logo.svg
^VIX,CBOE Volatility Index,https://www.binaryoptions.com/wp-content/uploads/Bildschirmfoto-2022-08-04-um-20.49.35.png
KRW=X,USD/KRW Exchange Rate,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Bank_of_Korea_Logo.svg/250px-Bank_of_Korea_Logo.svg.png
XLK,Technology Select Sector SPDR Fund,https://i.namu.wiki/i/fSxaM1N3Gpqp_jI37BNjPsWnqcKdpOdrThOhEQFhgH8v9BF3HuQD3HRYYEA2teLPBuh1q-IKGSwPbBcMPdpj7Q.svg
XLF,Financial Select Sector SPDR Fund,https://i.namu.wiki/i/fSxaM1N3Gpqp_jI37BNjPsWnqcKdpOdrThOhEQFhgH8v9BF3HuQD3HRYYEA2teLPBuh1q-IKGSwPbBcMPdpj7Q.svg
XLE,Energy Select Sector SPDR Fund,https://i.namu.wiki/i/fSxaM1N3Gpqp_jI37BNjPsWnqcKdpOdrThOhEQFhgH8v9BF3HuQD3HRYYEA2teLPBuh1q-IKGSwPbBcMPdpj7Q.svg
XLV,Health Care Select Sector SPDR Fund,https://i.namu.wiki/i/fSxaM1N3Gpqp_jI37BNjPsWnqcKdpOdrThOhEQFhgH8v9BF3HuQD3HRYYEA2teLPBuh1q-IKGSwPbBcMPdpj7Q.svg
XLY,Consumer Discretionary Select Sector SPDR Fund,https://i.namu.wiki/i/fSxaM1N3Gpqp_jI37BNjPsWnqcKdpOdrThOhEQFhgH8v9BF3HuQD3HRYYEA2teLPBuh1q-IKGSwPbBcMPdpj7Q.svg
XLP,Consumer Staples Select Sector SPDR Fund,https://i.namu.wiki/i/fSxaM1N3Gpqp_jI37BNjPsWnqcKdpOdrThOhEQFhgH8v9BF3HuQD3HRYYEA2teLPBuh1q-IKGSwPbBcMPdpj7Q.svg
XLI,Industrial Select Sector SPDR Fund,https://i.namu.wiki/i/fSxaM1N3Gpqp_jI37BNjPsWnqcKdpOdrThOhEQFhgH8v9BF3HuQD3HRYYEA2teLPBuh1q-IKGSwPbBcMPdpj7Q.svg
XLB,Materials Select Sector SPDR Fund,https://i.namu.wiki/i/fSxaM1N3Gpqp_jI37BNjPsWnqcKdpOdrThOhEQFhgH8v9BF3HuQD3HRYYEA2teLPBuh1q-IKGSwPbBcMPdpj7Q.svg
XLRE,Real Estate Select Sector SPDR Fund,https://i.namu.wiki/i/fSxaM1N3Gpqp_jI37BNjPsWnqcKdpOdrThOhEQFhgH8v9BF3HuQD3HRYYEA2teLPBuh1q-IKGSwPbBcMPdpj7Q.svg
XLU,Utilities Select Sector SPDR Fund,https://i.namu.wiki/i/fSxaM1N3Gpqp_jI37BNjPsWnqcKdpOdrThOhEQFhgH8v9BF3HuQD3HRYYEA2teLPBuh1q-IKGSwPbBcMPdpj7Q.svg
XLC,Communication Services Select Sector SPDR Fund,https://i.namu.wiki/i/fSxaM1N3Gpqp_jI37BNjPsWnqcKdpOdrThOhEQFhgH8v9BF3HuQD3HRYYEA2teLPBuh1q-IKGSwPbBcMPdpj7Q.svg
